years,value,spend_unit,visit_night_unit,breakdown_of_domestic_tourism,region_of_residence
2014-2016,0,million (£),NA,Expenditure,Scotland
2015-2017,0,million (£),NA,Expenditure,Scotland
2009-2011,0,million (£),NA,Expenditure,England
2016-2018,0,million (£),NA,Expenditure,All of GB
2013-2015,3,NA,Thousand,Visits,Scotland
2014-2016,0,NA,Thousand,Nights,England
2013-2015,0,million (£),NA,Expenditure,Scotland
2015-2017,0,NA,Thousand,Visits,Scotland
2015-2017,0,NA,Thousand,Visits,England
2017-2019,18,NA,Thousand,Nights,Scotland
2009-2011,1,million (£),NA,Expenditure,Scotland
2017-2019,21,NA,Thousand,Nights,All of GB
2012-2014,15,NA,Thousand,Visits,All of GB
2009-2011,0,NA,Thousand,Visits,England
2011-2013,1,million (£),NA,Expenditure,England
2017-2019,0,million (£),NA,Expenditure,England
2016-2018,0,NA,Thousand,Nights,All of GB
2010-2012,1,million (£),NA,Expenditure,England
2015-2017,0,NA,Thousand,Nights,Scotland
2011-2013,46,NA,Thousand,Nights,All of GB
2017-2019,7,NA,Thousand,Visits,All of GB
2015-2017,0,NA,Thousand,Visits,All of GB
2013-2015,0,million (£),NA,Expenditure,All of GB
2009-2011,1,million (£),NA,Expenditure,All of GB
2016-2018,0,million (£),NA,Expenditure,England
2012-2014,14,NA,Thousand,Nights,England
2012-2014,1,million (£),NA,Expenditure,All of GB
2016-2018,0,NA,Thousand,Visits,Scotland
2009-2011,22,NA,Thousand,Nights,All of GB
2015-2017,0,million (£),NA,Expenditure,England
2011-2013,2,million (£),NA,Expenditure,All of GB
2010-2012,13,NA,Thousand,Visits,Scotland
2010-2012,14,NA,Thousand,Nights,England
2012-2014,22,NA,Thousand,Nights,Scotland
2011-2013,13,NA,Thousand,Visits,Scotland
2014-2016,0,million (£),NA,Expenditure,All of GB
2013-2015,3,NA,Thousand,Visits,All of GB
2014-2016,0,NA,Thousand,Visits,England
2017-2019,5,NA,Thousand,Visits,Scotland
2017-2019,1,million (£),NA,Expenditure,All of GB
2010-2012,1,million (£),NA,Expenditure,Scotland
2014-2016,3,NA,Thousand,Visits,All of GB
2014-2016,3,NA,Thousand,Nights,Scotland
2012-2014,35,NA,Thousand,Nights,All of GB
2012-2014,1,million (£),NA,Expenditure,Scotland
2013-2015,3,NA,Thousand,Nights,All of GB
2011-2013,1,million (£),NA,Expenditure,Scotland
2015-2017,0,million (£),NA,Expenditure,All of GB
2013-2015,0,NA,Thousand,Nights,England
2016-2018,0,NA,Thousand,Visits,All of GB
2010-2012,46,NA,Thousand,Nights,All of GB
2015-2017,0,NA,Thousand,Nights,All of GB
2009-2011,0,NA,Thousand,Nights,England
2013-2015,3,NA,Thousand,Nights,Scotland
2017-2019,1,million (£),NA,Expenditure,Scotland
2010-2012,2,million (£),NA,Expenditure,All of GB
2017-2019,3,NA,Thousand,Visits,England
2014-2016,3,NA,Thousand,Nights,All of GB
2014-2016,0,million (£),NA,Expenditure,England
2015-2017,0,NA,Thousand,Nights,England
2012-2014,8,NA,Thousand,Visits,Scotland
2016-2018,0,million (£),NA,Expenditure,Scotland
2013-2015,0,million (£),NA,Expenditure,England
2016-2018,0,NA,Thousand,Nights,Scotland
2010-2012,20,NA,Thousand,Visits,All of GB
2011-2013,32,NA,Thousand,Nights,Scotland
2012-2014,1,million (£),NA,Expenditure,England
2010-2012,32,NA,Thousand,Nights,Scotland
2013-2015,224,NA,Thousand,Visits,England
2013-2015,1577,NA,Thousand,Nights,All of GB
2015-2017,39,million (£),NA,Expenditure,Scotland
2010-2012,39,million (£),NA,Expenditure,Scotland
2009-2011,836,NA,Thousand,Nights,Scotland
2016-2018,717,NA,Thousand,Nights,Scotland
2012-2014,730,NA,Thousand,Nights,Scotland
2014-2016,729,NA,Thousand,Nights,England
2017-2019,344,NA,Thousand,Visits,Scotland
2015-2017,870,NA,Thousand,Nights,England
2012-2014,282,NA,Thousand,Visits,Scotland
2012-2014,213,NA,Thousand,Visits,England
2011-2013,824,NA,Thousand,Nights,England
2010-2012,180,NA,Thousand,Visits,England
2012-2014,39,million (£),NA,Expenditure,Scotland
2017-2019,57,million (£),NA,Expenditure,England
2010-2012,470,NA,Thousand,Visits,All of GB
2014-2016,37,million (£),NA,Expenditure,Scotland
2013-2015,303,NA,Thousand,Visits,Scotland
2015-2017,241,NA,Thousand,Visits,England
2011-2013,600,NA,Thousand,Nights,Scotland
2009-2011,534,NA,Thousand,Visits,All of GB
2017-2019,1853,NA,Thousand,Nights,All of GB
2016-2018,540,NA,Thousand,Visits,All of GB
2009-2011,1116,NA,Thousand,Nights,England
2009-2011,48,million (£),NA,Expenditure,England
2016-2018,39,million (£),NA,Expenditure,Scotland
2011-2013,33,million (£),NA,Expenditure,Scotland
2014-2016,788,NA,Thousand,Nights,Scotland
2010-2012,285,NA,Thousand,Visits,Scotland
2014-2016,238,NA,Thousand,Visits,England
2017-2019,875,NA,Thousand,Nights,Scotland
2013-2015,528,NA,Thousand,Visits,All of GB
2010-2012,84,million (£),NA,Expenditure,All of GB
2012-2014,55,million (£),NA,Expenditure,England
2014-2016,530,NA,Thousand,Visits,All of GB
2013-2015,832,NA,Thousand,Nights,Scotland
2016-2018,299,NA,Thousand,Visits,Scotland
2014-2016,1546,NA,Thousand,Nights,All of GB
2014-2016,286,NA,Thousand,Visits,Scotland
2016-2018,53,million (£),NA,Expenditure,England
2012-2014,94,million (£),NA,Expenditure,All of GB
2017-2019,54,million (£),NA,Expenditure,Scotland
2017-2019,112,million (£),NA,Expenditure,All of GB
2011-2013,250,NA,Thousand,Visits,Scotland
2015-2017,802,NA,Thousand,Nights,Scotland
2014-2016,85,million (£),NA,Expenditure,All of GB
2013-2015,745,NA,Thousand,Nights,England
2009-2011,1972,NA,Thousand,Nights,All of GB
2017-2019,571,NA,Thousand,Visits,All of GB
2012-2014,737,NA,Thousand,Nights,England
2009-2011,88,million (£),NA,Expenditure,All of GB
2016-2018,877,NA,Thousand,Nights,England
2013-2015,51,million (£),NA,Expenditure,England
2012-2014,1466,NA,Thousand,Nights,All of GB
2013-2015,89,million (£),NA,Expenditure,All of GB
2010-2012,1645,NA,Thousand,Nights,All of GB
2009-2011,324,NA,Thousand,Visits,Scotland
2017-2019,951,NA,Thousand,Nights,England
2016-2018,1650,NA,Thousand,Nights,All of GB
2009-2011,204,NA,Thousand,Visits,England
2012-2014,494,NA,Thousand,Visits,All of GB
2011-2013,1444,NA,Thousand,Nights,All of GB
2015-2017,89,million (£),NA,Expenditure,All of GB
2010-2012,716,NA,Thousand,Nights,Scotland
2010-2012,910,NA,Thousand,Nights,England
2015-2017,556,NA,Thousand,Visits,All of GB
2011-2013,191,NA,Thousand,Visits,England
2009-2011,40,million (£),NA,Expenditure,Scotland
2015-2017,307,NA,Thousand,Visits,Scotland
2015-2017,49,million (£),NA,Expenditure,England
2013-2015,38,million (£),NA,Expenditure,Scotland
2014-2016,47,million (£),NA,Expenditure,England
2016-2018,229,NA,Thousand,Visits,England
2016-2018,94,million (£),NA,Expenditure,All of GB
2010-2012,45,million (£),NA,Expenditure,England
2011-2013,54,million (£),NA,Expenditure,England
2017-2019,221,NA,Thousand,Visits,England
2011-2013,446,NA,Thousand,Visits,All of GB
2011-2013,88,million (£),NA,Expenditure,All of GB
2015-2017,1705,NA,Thousand,Nights,All of GB
2009-2011,1316,NA,Thousand,Nights,Scotland
2013-2015,203,NA,Thousand,Visits,England
2010-2012,83,million (£),NA,Expenditure,Scotland
2016-2018,877,NA,Thousand,Nights,England
2010-2012,82,million (£),NA,Expenditure,England
2011-2013,1348,NA,Thousand,Nights,Scotland
2014-2016,2121,NA,Thousand,Nights,All of GB
2015-2017,1236,NA,Thousand,Nights,Scotland
2017-2019,79,million (£),NA,Expenditure,England
2009-2011,723,NA,Thousand,Visits,All of GB
2013-2015,1493,NA,Thousand,Nights,Scotland
2015-2017,748,NA,Thousand,Nights,England
2014-2016,632,NA,Thousand,Nights,England
2013-2015,792,NA,Thousand,Nights,England
2016-2018,72,million (£),NA,Expenditure,Scotland
2017-2019,1037,NA,Thousand,Nights,England
2010-2012,1392,NA,Thousand,Nights,Scotland
2013-2015,2285,NA,Thousand,Nights,All of GB
2016-2018,1092,NA,Thousand,Nights,Scotland
2012-2014,976,NA,Thousand,Nights,England
2009-2011,1078,NA,Thousand,Nights,England
2011-2013,74,million (£),NA,Expenditure,England
2011-2013,96,million (£),NA,Expenditure,Scotland
2012-2014,96,million (£),NA,Expenditure,Scotland
2011-2013,171,million (£),NA,Expenditure,All of GB
2015-2017,130,million (£),NA,Expenditure,All of GB
2014-2016,518,NA,Thousand,Visits,Scotland
2010-2012,167,million (£),NA,Expenditure,All of GB
2012-2014,742,NA,Thousand,Visits,All of GB
2012-2014,244,NA,Thousand,Visits,England
2016-2018,2004,NA,Thousand,Nights,All of GB
2016-2018,66,million (£),NA,Expenditure,England
2009-2011,258,NA,Thousand,Visits,England
2014-2016,83,million (£),NA,Expenditure,Scotland
2016-2018,447,NA,Thousand,Visits,Scotland
2017-2019,694,NA,Thousand,Visits,All of GB
2014-2016,134,million (£),NA,Expenditure,All of GB
2013-2015,55,million (£),NA,Expenditure,England
2010-2012,515,NA,Thousand,Visits,Scotland
2009-2011,458,NA,Thousand,Visits,Scotland
2010-2012,2589,NA,Thousand,Nights,All of GB
2015-2017,55,million (£),NA,Expenditure,England
2016-2018,138,million (£),NA,Expenditure,All of GB
2013-2015,722,NA,Thousand,Visits,All of GB
2017-2019,158,million (£),NA,Expenditure,All of GB
2012-2014,2427,NA,Thousand,Nights,All of GB
2014-2016,722,NA,Thousand,Visits,All of GB
2017-2019,261,NA,Thousand,Visits,England
2011-2013,285,NA,Thousand,Visits,England
2014-2016,196,NA,Thousand,Visits,England
2012-2014,159,million (£),NA,Expenditure,All of GB
2011-2013,481,NA,Thousand,Visits,Scotland
2014-2016,50,million (£),NA,Expenditure,England
2016-2018,217,NA,Thousand,Visits,England
2013-2015,518,NA,Thousand,Visits,Scotland
2009-2011,157,million (£),NA,Expenditure,All of GB
2017-2019,79,million (£),NA,Expenditure,Scotland
2013-2015,157,million (£),NA,Expenditure,All of GB
2016-2018,675,NA,Thousand,Visits,All of GB
2017-2019,2116,NA,Thousand,Nights,All of GB
2012-2014,1452,NA,Thousand,Nights,Scotland
2010-2012,809,NA,Thousand,Visits,All of GB
2015-2017,2020,NA,Thousand,Nights,All of GB
2015-2017,486,NA,Thousand,Visits,Scotland
2011-2013,1158,NA,Thousand,Nights,England
2011-2013,772,NA,Thousand,Visits,All of GB
2015-2017,74,million (£),NA,Expenditure,Scotland
2009-2011,79,million (£),NA,Expenditure,England
2015-2017,207,NA,Thousand,Visits,England
2010-2012,1167,NA,Thousand,Nights,England
2012-2014,498,NA,Thousand,Visits,Scotland
2017-2019,1076,NA,Thousand,Nights,Scotland
2014-2016,1457,NA,Thousand,Nights,Scotland
2015-2017,704,NA,Thousand,Visits,All of GB
2017-2019,429,NA,Thousand,Visits,Scotland
2009-2011,2424,NA,Thousand,Nights,All of GB
2012-2014,63,million (£),NA,Expenditure,England
2011-2013,2523,NA,Thousand,Nights,All of GB
2009-2011,76,million (£),NA,Expenditure,Scotland
2010-2012,287,NA,Thousand,Visits,England
2013-2015,103,million (£),NA,Expenditure,Scotland
2010-2012,3902,NA,Thousand,Nights,All of GB
2012-2014,4401,NA,Thousand,Nights,All of GB
2014-2016,663,NA,Thousand,Visits,Scotland
2013-2015,4278,NA,Thousand,Nights,All of GB
2012-2014,111,million (£),NA,Expenditure,Scotland
2013-2015,1242,NA,Thousand,Nights,Scotland
2009-2011,3884,NA,Thousand,Nights,All of GB
2009-2011,1631,NA,Thousand,Visits,All of GB
2016-2018,361,million (£),NA,Expenditure,All of GB
2014-2016,1270,NA,Thousand,Nights,Scotland
2012-2014,3061,NA,Thousand,Nights,England
2017-2019,1229,NA,Thousand,Nights,Scotland
2017-2019,3602,NA,Thousand,Nights,All of GB
2009-2011,573,NA,Thousand,Visits,Scotland
2011-2013,3852,NA,Thousand,Nights,All of GB
2015-2017,1117,NA,Thousand,Nights,Scotland
2015-2017,1599,NA,Thousand,Visits,All of GB
2014-2016,122,million (£),NA,Expenditure,Scotland
2015-2017,3786,NA,Thousand,Nights,All of GB
2011-2013,976,NA,Thousand,Visits,England
2017-2019,120,million (£),NA,Expenditure,Scotland
2017-2019,2325,NA,Thousand,Nights,England
2016-2018,3600,NA,Thousand,Nights,All of GB
2016-2018,2416,NA,Thousand,Nights,England
2013-2015,627,NA,Thousand,Visits,Scotland
2010-2012,1085,NA,Thousand,Visits,England
2015-2017,261,million (£),NA,Expenditure,England
2010-2012,2875,NA,Thousand,Nights,England
2016-2018,566,NA,Thousand,Visits,Scotland
2012-2014,1051,NA,Thousand,Visits,England
2013-2015,118,million (£),NA,Expenditure,Scotland
2012-2014,1727,NA,Thousand,Visits,All of GB
2011-2013,324,million (£),NA,Expenditure,All of GB
2009-2011,1028,NA,Thousand,Visits,England
2016-2018,960,NA,Thousand,Visits,England
2010-2012,1692,NA,Thousand,Visits,All of GB
2015-2017,580,NA,Thousand,Visits,Scotland
2015-2017,979,NA,Thousand,Visits,England
2017-2019,241,million (£),NA,Expenditure,England
2009-2011,240,million (£),NA,Expenditure,England
2013-2015,990,NA,Thousand,Visits,England
2010-2012,90,million (£),NA,Expenditure,Scotland
2009-2011,90,million (£),NA,Expenditure,Scotland
2015-2017,116,million (£),NA,Expenditure,Scotland
2011-2013,2725,NA,Thousand,Nights,England
2009-2011,341,million (£),NA,Expenditure,All of GB
2013-2015,242,million (£),NA,Expenditure,England
2011-2013,590,NA,Thousand,Visits,Scotland
2013-2015,1682,NA,Thousand,Visits,All of GB
2012-2014,219,million (£),NA,Expenditure,England
2017-2019,1577,NA,Thousand,Visits,All of GB
2017-2019,946,NA,Thousand,Visits,England
2016-2018,1556,NA,Thousand,Visits,All of GB
2013-2015,373,million (£),NA,Expenditure,All of GB
2017-2019,364,million (£),NA,Expenditure,All of GB
2016-2018,115,million (£),NA,Expenditure,Scotland
2014-2016,267,million (£),NA,Expenditure,England
2014-2016,1767,NA,Thousand,Visits,All of GB
2011-2013,211,million (£),NA,Expenditure,England
2014-2016,406,million (£),NA,Expenditure,All of GB
2014-2016,1025,NA,Thousand,Visits,England
2010-2012,572,NA,Thousand,Visits,Scotland
2010-2012,342,million (£),NA,Expenditure,All of GB
2012-2014,343,million (£),NA,Expenditure,All of GB
2016-2018,237,million (£),NA,Expenditure,England
2013-2015,2920,NA,Thousand,Nights,England
2012-2014,1206,NA,Thousand,Nights,Scotland
2017-2019,614,NA,Thousand,Visits,Scotland
2011-2013,1052,NA,Thousand,Nights,Scotland
2009-2011,974,NA,Thousand,Nights,Scotland
2014-2016,2895,NA,Thousand,Nights,England
2009-2011,2833,NA,Thousand,Nights,England
2011-2013,103,million (£),NA,Expenditure,Scotland
2014-2016,4324,NA,Thousand,Nights,All of GB
2010-2012,242,million (£),NA,Expenditure,England
2015-2017,2567,NA,Thousand,Nights,England
2011-2013,1594,NA,Thousand,Visits,All of GB
2015-2017,388,million (£),NA,Expenditure,All of GB
2012-2014,611,NA,Thousand,Visits,Scotland
2010-2012,955,NA,Thousand,Nights,Scotland
2016-2018,1091,NA,Thousand,Nights,Scotland
2017-2019,5,million (£),NA,Expenditure,Scotland
2011-2013,130,NA,Thousand,Visits,England
2014-2016,283,NA,Thousand,Nights,All of GB
2009-2011,293,NA,Thousand,Nights,England
2014-2016,119,NA,Thousand,Visits,All of GB
2016-2018,84,NA,Thousand,Visits,All of GB
2010-2012,44,million (£),NA,Expenditure,All of GB
2012-2014,414,NA,Thousand,Nights,All of GB
2011-2013,28,million (£),NA,Expenditure,England
2014-2016,17,million (£),NA,Expenditure,All of GB
2013-2015,264,NA,Thousand,Nights,England
2013-2015,19,million (£),NA,Expenditure,All of GB
2010-2012,81,NA,Thousand,Visits,Scotland
2012-2014,23,million (£),NA,Expenditure,All of GB
2009-2011,74,NA,Thousand,Visits,Scotland
2014-2016,12,million (£),NA,Expenditure,England
2011-2013,389,NA,Thousand,Nights,England
2010-2012,30,million (£),NA,Expenditure,England
2013-2015,13,million (£),NA,Expenditure,England
2011-2013,5,million (£),NA,Expenditure,Scotland
2013-2015,139,NA,Thousand,Visits,All of GB
2010-2012,735,NA,Thousand,Nights,All of GB
2010-2012,14,million (£),NA,Expenditure,Scotland
2017-2019,21,million (£),NA,Expenditure,All of GB
2016-2018,2,million (£),NA,Expenditure,Scotland
2013-2015,94,NA,Thousand,Nights,Scotland
2016-2018,143,NA,Thousand,Nights,England
2016-2018,16,million (£),NA,Expenditure,All of GB
2013-2015,46,NA,Thousand,Visits,Scotland
2015-2017,95,NA,Thousand,Visits,All of GB
2014-2016,58,NA,Thousand,Visits,England
2012-2014,154,NA,Thousand,Visits,All of GB
2012-2014,283,NA,Thousand,Nights,England
2011-2013,55,NA,Thousand,Visits,Scotland
2009-2011,37,million (£),NA,Expenditure,All of GB
2014-2016,194,NA,Thousand,Nights,England
2009-2011,188,NA,Thousand,Visits,All of GB
2012-2014,102,NA,Thousand,Nights,Scotland
2017-2019,362,NA,Thousand,Nights,All of GB
2016-2018,55,NA,Thousand,Visits,England
2016-2018,179,NA,Thousand,Nights,All of GB
2012-2014,78,NA,Thousand,Visits,England
2010-2012,216,NA,Thousand,Visits,All of GB
2015-2017,239,NA,Thousand,Nights,All of GB
2017-2019,39,NA,Thousand,Visits,Scotland
2016-2018,28,NA,Thousand,Visits,Scotland
2015-2017,29,NA,Thousand,Visits,Scotland
2011-2013,135,NA,Thousand,Nights,Scotland
2017-2019,168,NA,Thousand,Nights,Scotland
2011-2013,185,NA,Thousand,Visits,All of GB
2015-2017,3,million (£),NA,Expenditure,Scotland
2009-2011,347,NA,Thousand,Nights,Scotland
2012-2014,47,NA,Thousand,Visits,Scotland
2009-2011,25,million (£),NA,Expenditure,England
2015-2017,44,NA,Thousand,Nights,Scotland
2015-2017,15,million (£),NA,Expenditure,All of GB
2013-2015,4,million (£),NA,Expenditure,Scotland
2010-2012,135,NA,Thousand,Visits,England
2012-2014,4,million (£),NA,Expenditure,Scotland
2014-2016,60,NA,Thousand,Nights,Scotland
2011-2013,524,NA,Thousand,Nights,All of GB
2014-2016,3,million (£),NA,Expenditure,Scotland
2017-2019,16,million (£),NA,Expenditure,England
2015-2017,196,NA,Thousand,Nights,England
2011-2013,32,million (£),NA,Expenditure,All of GB
2017-2019,62,NA,Thousand,Visits,England
2010-2012,371,NA,Thousand,Nights,England
2009-2011,13,million (£),NA,Expenditure,Scotland
2016-2018,14,million (£),NA,Expenditure,England
2013-2015,387,NA,Thousand,Nights,All of GB
2017-2019,101,NA,Thousand,Visits,All of GB
2014-2016,33,NA,Thousand,Visits,Scotland
2013-2015,64,NA,Thousand,Visits,England
2015-2017,65,NA,Thousand,Visits,England
2016-2018,36,NA,Thousand,Nights,Scotland
2017-2019,194,NA,Thousand,Nights,England
2012-2014,18,million (£),NA,Expenditure,England
2009-2011,113,NA,Thousand,Visits,England
2009-2011,640,NA,Thousand,Nights,All of GB
2015-2017,12,million (£),NA,Expenditure,England
2010-2012,364,NA,Thousand,Nights,Scotland
